"思考を文章化するという点で、Twitterは自分の思考の整理に役立つ。","1"
"とりあえずぼくは終末思想というか、別に人間滅んでもいいんじゃない思想を持っているので、本来人類の敵となるべき存在です。","-1"
"今日ビザの申請行こうと思ったんだけど、申請受付が14:30までで無理だった…(布団から出たの13:30","-1"
"さみー、なんかマクド夜中になると冷房かけ始める気がする…　気のせいかな。","-1"
"すき家→TSUTAYA→マクド→寝る     これからこんな感じ","0.5"
"同じ人間が生み出した言語なのに、これだけ大きな差があるのはなんでだろうね。使う記号にしても文法にしても。","0.5"
"なんか18歳最後の日とか言ってる人がTLに３人もいるんだけど、みんな明日誕生日なのだろうか。","-0.5"
"子供産む事に関してもう少し男もリスクを持つ仕組みにするべきだったんじゃないかと思う。　社会的なリスクはもちろんあるけど、生物的なリスクってほとんどないよね。","-0.5"
"まぁでも今やるべき事は恋愛ではないので。もう少し大人になったら再びアプローチするのもありかもしれませんね。","0.5"
"日常的にスリッパ履いて生活してるので、歩く音が聞こえてうるさい。","-1"
"なんか学習室24にいるとかわいい女の子たくさんくるんだけど、なんで？","1"
"リストを上手く使い分けられればいいんだろうけど、なかなかそれが上手く出来ない。","-1"
"今日はあかりさんとじゃがじゃがとがいさんともりじゅんくんに会いましたー","0.5"
"曲流しながらその歌詞タイプするとかやってみようかな…　絶対追いつかないけどw","1"
"周りに自分を評価してくれる人がいないので、自分がどれだけ成長できたかってのがよくわからない。","-1"
"別に誰と話したいとか、なんか話したい事あるとかじゃないんだけどなぁ","-1"
"かといって他の人にかける時間が十分にある訳でもない。。。　いや、なんとかすれば時間作れるもんかなー。","-0.5"
"じゃがじゃがと会うのに1000円なぁ。 来年KUにいるだろうからまぁ今年は会わんでもいいかな！笑","0.5"
"ぷっかるさんエレクトーン聞いてるらしいので行ってみますかね（もともと行くつもりだったし）","1"
"ってかなんでnanoサイズでもないのにnanoとか名前に使うかなー。","-1"
"自分の名前のドメイン検索して、既存の自分の名前のサイトを訪れる。","0.5"
"それで死んでも今までの人生を後悔することはほとんどないだろうし","0.5"
"なにか落ち着かないと思ったら部屋の電気が一段階暗くなってた。","-0.5"
"あ、そういえば今日「ニーチェの言葉」買った。　(だからレポート書けよw)","0.5"
"いろいろな大人と話して、その場その場で自分をアピールしてくのが一番いいんじゃないかというのが今の自分の考え。","1"
"別にぼくデュアルコアになってくれなくてもよかったんですけど！笑","0.5"
"来週は28℃前後あるからいいや　体調崩さんように気をつけんとなぁ","0.5"
"喉痛いのと身体痛い。　でも、昨日喋り過ぎて喉痛くなって、昨日おとといと歩き過ぎて身体痛い気がすんだよな。","-1"
"ガチで寝過ごしそうで怖い、Twitterやってないと寝てしまう","-1"
"あ、ヤバイこと気付いた…　昨日腕時計の電池切れたから試験中に時間分からない…笑　　携帯使えないしねぇ…","-1"
"でもなんか今日研究室の事務の人に呼び出されて最悪。Cities in Motion2やりたかった。","-1"
"ってかまぁ同じぐらいのスペックのPCすでに2台あるんだけどね。Mac mini 4-coresとMac Pro 8-cores (2008)","0.5"
"CPUのベンチマーク見たら今のMBA13''よりも3倍になるし、やばいぞこれは。","1"
"今日は夜遅くまで開発するために、食料もコーヒーも買って来たけど、「できる人」は生活リズムもしっかりしてるらしいので、できる人になるために寝ましょうか。","0.5"
"いやぁ、あの500件手動で送ったの？って聞かれた時には笑ったね。笑","1"
"作業の休憩、気晴らしとしての食事であって、生きるための食事ではない","0.5"
"eclipseの自動フォーマットで右側に長いコードの途中で改行するのチョットキモイ。","-1"
"レポート書くの面倒だから、READMEをコピペして、適当に考察とか付け加えて、それでよしにしたい。最近やっとマークダウンの楽さに気づいた。","1"
"家の近くで工事しててうるさいからスタバに来てプログラム書いてるんだけど、今自分がスタバMacしてることに気づいて、ウワッってなってる。","-1"
"少なくとも日本語と英語よりは、日本語と中国語、中国語と英語の方が近いし。","0.5"
"2ヶ月前に日本語の勉強始めた人たちが、日本語の仕様書見てプログラム書けって言われてるの本当にかわいそう。(それで時給117円)","-1"
"Windows8もシャットダウンの場所同じらしいなぁ。ネットでもシャットダウンの位置が分かりにくいという意見が多数ある。","-1"
"日陰で、風通しもそんなに良くないところに置いておいたのに匂い変わっちゃったかなー","-1"
"23日のMac miniのアップデートによってはうちにMac miniが導入される可能性が出てきた。","1"
"そういえば明日AppleさんからLightningケーブル２つめが届く。","1"
"帰宅した。　音楽聴きながらチャリのブレーキレバーでリズム刻んでたら、すれ違いざまに舌打ちされた。　なんで…(´・ω・｀)","-1"
"6週間20万円で行けるかどうかは香港、台湾の物価にかかってる感じする。　台湾って結構物価高そうなイメージなんだけど。。","-0.5"
"ってこの前母親に言ったら「なんであんたそんな事知ってんの？」って言われた笑","1"
"マクド意外と人少ない  マクドでコンピューティングしようと思ったけど、今テザリングできないんだった…","-1"
"大学の教室でもしっかりLTE入ってて快適。3Gよりも電波しっかりしてるのでは…","1"
